Feature,Importance
num__CRS_ELAPSED_TIME,0.08894378315992792
num__DISTANCE,0.08682319747461621
num__MONTH,0.06369217455636085
num__DAY_OF_WEEK,0.05725229861379139
cat__TIME_BLOCK_Afternoon,0.020077000459350267
cat__TIME_BLOCK_Morning,0.016735105168205915
cat__DEST_SFO,0.014348038326288651
cat__DEST_CVG,0.013203863413195993
cat__ORIGIN_ORD,0.011705522131485086
cat__OP_CARRIER_AA,0.011622998654766703
cat__TIME_BLOCK_Evening,0.011093139859683052
cat__DEST_AUS,0.010821290776413734
cat__OP_CARRIER_F9,0.010611114857614175
cat__ORIGIN_DEN,0.00987929622525398
cat__ORIGIN_SEA,0.009228113671320167
