budget,genres,id,imdb_id,original_language,original_title,popularity,production_companies,production_countries,release_date,revenue,runtime(in_minutes),spoken_languages,status,title,vote_average,vote_count,multigenre,multilanguage,multicompany,multicountry
"$65,000,000.00","Adventure, Fantasy, Family",8844,tt0113497,en,Jumanji,17.02,"TriStar Pictures, Teitler Film, Interscope Communications",United States of America,1995-12-15,"$262,797,249.00",104,"English, French",Released,Jumanji,6.9,2413,yes,yes,yes,no
"$16,000,000.00","Comedy, Drama, Romance",31357,tt0114885,en,Waiting to Exhale,3.86,Twentieth Century Fox Film Corporation,United States of America,1995-12-22,"$81,452,156.00",127,English,Released,Waiting to Exhale,6.1,34,yes,no,no,no
"$60,000,000.00","Action, Crime, Drama, Thriller",949,tt0113277,en,Heat,17.92,"Regency Enterprises, Forward Pass, Warner Bros.",United States of America,1995-12-15,"$187,436,818.00",170,"English, Spanish",Released,Heat,7.7,1886,yes,yes,yes,no
"$35,000,000.00","Action, Adventure, Thriller",9091,tt0114576,en,Sudden Death,5.23,"Universal Pictures, Imperial Entertainment, Signature Entertainment",United States of America,1995-12-22,"$64,350,171.00",106,English,Released,Sudden Death,5.5,174,yes,no,yes,no
"$58,000,000.00","Adventure, Action, Thriller",710,tt0113189,en,GoldenEye,14.69,"United Artists, Eon Productions","United Kingdom, United States of America",1995-11-16,"$352,194,034.00",130,"English, Russian, Spanish",Released,GoldenEye,6.6,1194,yes,yes,yes,yes
"$62,000,000.00","Comedy, Drama, Romance",9087,tt0112346,en,The American President,6.32,"Columbia Pictures, Castle Rock Entertainment",United States of America,1995-11-17,"$107,879,496.00",106,English,Released,The American President,6.5,199,yes,no,yes,no
"$98,000,000.00","Action, Adventure",1408,tt0112760,en,Cutthroat Island,7.28,"Le Studio Canal+, Laurence Mark Productions, Metro-Goldwyn-Mayer (MGM), Carolco Pictures","France, Germany, Italy, United States of America",1995-12-22,"$10,017,322.00",119,"English, Latin",Released,Cutthroat Island,5.7,137,yes,yes,yes,yes
"$52,000,000.00","Drama, Crime",524,tt0112641,en,Casino,10.14,"Universal Pictures, Légende Entreprises, Syalis DA, De Fina-Cappa","France, United States of America",1995-11-22,"$116,112,375.00",178,English,Released,Casino,7.8,1343,yes,no,yes,yes
"$16,500,000.00","Drama, Romance",4584,tt0114388,en,Sense and Sensibility,10.67,"Columbia Pictures Corporation, Mirage Enterprises","United Kingdom, United States of America",1995-12-13,"$135,000,000.00",136,English,Released,Sense and Sensibility,7.2,364,yes,no,yes,yes
"$4,000,000.00","Crime, Comedy",5,tt0113101,en,Four Rooms,9.03,"Miramax Films, A Band Apart",United States of America,1995-12-09,"$4,300,000.00",98,English,Released,Four Rooms,6.5,539,yes,no,yes,no
"$30,000,000.00","Crime, Comedy, Adventure",9273,tt0112281,en,Ace Ventura: When Nature Calls,8.21,"O Entertainment, Warner Bros., Morgan Creek Productions",United States of America,1995-11-10,"$212,385,533.00",90,English,Released,Ace Ventura: When Nature Calls,6.1,1128,yes,no,yes,no
"$60,000,000.00","Action, Comedy, Crime",11517,tt0113845,en,Money Train,7.34,Columbia Pictures,United States of America,1995-11-21,"$35,431,113.00",103,English,Released,Money Train,5.4,224,yes,no,no,no
"$30,250,000.00","Comedy, Thriller, Crime",8012,tt0113161,en,Get Shorty,12.67,"Jersey Films, Metro-Goldwyn-Mayer (MGM)",United States of America,1995-10-20,"$115,101,622.00",105,English,Released,Get Shorty,6.4,305,yes,no,yes,no
"$50,000,000.00","Action, Adventure, Crime, Thriller",9691,tt0112401,en,Assassins,11.07,"Silver Pictures, Canal+, Warner Bros., Dino De Laurentiis Company, Donner/Shuler-Donner Productions, Evansgideon/Lazar","France, United States of America",1995-10-06,"$30,303,072.00",132,"English, Spanish, Dutch",Released,Assassins,6.0,394,yes,yes,yes,yes
"$3,600,000.00","Drama, Romance",451,tt0113627,en,Leaving Las Vegas,10.33,"United Artists, Intial Productions",United States of America,1995-10-27,"$49,800,000.00",112,English,Released,Leaving Las Vegas,7.1,365,yes,no,yes,no
"$12,000,000.00","Comedy, Drama, Family",9263,tt0114011,en,Now and Then,8.68,New Line Cinema,United States of America,1995-10-20,"$27,400,000.00",100,English,Released,Now and Then,6.6,91,yes,no,no,no
"$29,500,000.00","Science Fiction, Thriller, Mystery",63,tt0114746,en,Twelve Monkeys,12.3,"Universal Pictures, Atlas Entertainment, Classico",United States of America,1995-12-29,"$168,840,000.00",129,"English, French",Released,Twelve Monkeys,7.4,2470,yes,yes,yes,no
"$11,000,000.00",Drama,687,tt0112818,en,Dead Man Walking,6.89,"Havoc, PolyGram Filmed Entertainment, Working Title Films","United States of America, United Kingdom",1995-12-29,"$39,363,635.00",122,English,Released,Dead Man Walking,7.3,350,no,no,yes,yes
"$18,000,000.00","Action, Fantasy",9312,tt0113855,en,Mortal Kombat,10.87,"New Line Cinema, Threshold Entertainment",United States of America,1995-08-18,"$122,195,920.00",101,English,Released,Mortal Kombat,5.4,452,yes,no,yes,no
"$20,000,000.00","Fantasy, Drama, Comedy, Thriller",577,tt0114681,en,To Die For,10.45,"The Rank Organisation, Columbia Pictures Corporation",United States of America,1995-05-20,"$21,284,514.00",106,English,Released,To Die For,6.7,177,yes,no,yes,no
"$10,000,000.00","Drama, Romance",11861,tt0113347,en,How To Make An American Quilt,4.49,"Universal Pictures, Amblin Entertainment",United States of America,1995-10-06,"$23,574,130.00",116,English,Released,How To Make An American Quilt,6.5,38,yes,no,yes,no
"$33,000,000.00","Crime, Mystery, Thriller",807,tt0114369,en,Se7en,18.46,"New Line Cinema, Juno Pix, Cecchi Gori Pictures",United States of America,1995-09-22,"$327,311,859.00",127,English,Released,Se7en,8.1,5915,yes,no,yes,no
"$6,000,000.00","Drama, Crime, Thriller",629,tt0114814,en,The Usual Suspects,16.3,"Blue Parrot Productions, Bad Hat Harry Productions",United States of America,1995-07-19,"$23,341,568.00",106,"Spanish, English, French, Hungarian",Released,The Usual Suspects,8.1,3334,yes,yes,yes,no
"$15,000,000.00","Comedy, Romance",11448,tt0113819,en,Mighty Aphrodite,15.9,"Miramax Films, Magnolia Pictures",United States of America,1995-09-13,"$6,700,000.00",95,English,Released,Mighty Aphrodite,6.7,145,yes,no,yes,no
"$3,500,000.00",Comedy,10634,tt0113118,en,Friday,14.57,New Line Cinema,United States of America,1995-04-26,"$28,215,918.00",91,English,Released,Friday,7.0,513,no,no,no,no
"$19,000,000.00","Horror, Action, Thriller, Crime",755,tt0116367,en,From Dusk Till Dawn,15.34,"A Band Apart, Dimension Films, Los Hooligans Productions, Miramax",United States of America,1996-01-19,"$25,836,616.00",108,"English, Spanish",Released,From Dusk Till Dawn,6.9,1644,yes,yes,yes,no
"$20,000,000.00","Horror, Science Fiction",9102,tt0114367,en,Screamers,12.76,"The Movie Network (TMN), Allegro Films, Fuji Eight Company Ltd., Fries Film Group, Super Ecran, Triumph Films","Canada, Japan, United States of America",1995-09-08,"$5,781,885.00",108,English,Released,Screamers,6.1,154,yes,no,yes,yes
"$8,000,000.00","Drama, Crime",400,tt0114660,en,Things to Do in Denver When You're Dead,4.49,Miramax Films,United States of America,1995-12-01,"$529,766.00",116,English,Released,Things to Do in Denver When You're Dead,6.7,87,yes,no,no,no
"$38,000,000.00","Action, Drama",10534,tt0118158,en,White Squall,9.57,"Hollywood Pictures, Largo Entertainment, Scott Free Productions",United States of America,1996-02-02,"$10,300,000.00",129,"Danish, English, French, German",Released,White Squall,6.3,86,yes,yes,yes,no
"$8,169,363.00","Crime, Drama, Thriller",2086,tt0113972,en,Nick of Time,6.85,Paramount Pictures,United States of America,1995-11-22,"$8,175,346.00",90,English,Released,Nick of Time,6.1,190,yes,no,no,no
"$47,000,000.00","Drama, Horror, Thriller, Romance",9095,tt0117002,en,Mary Reilly,12.87,"TriStar Pictures, NFH Productions",United States of America,1996-02-23,"$12,379,402.00",104,English,Released,Mary Reilly,5.7,77,yes,no,yes,no
"$14,000,000.00","Comedy, Horror, Romance",12158,tt0114825,en,Vampire in Brooklyn,9.07,Paramount Pictures,United States of America,1995-10-26,"$19,800,000.00",100,English,Released,Vampire in Brooklyn,4.5,113,yes,no,no,no
"$50,000,000.00","Action, Adventure, Drama, Thriller",9208,tt0115759,en,Broken Arrow,14.96,"Twentieth Century Fox Film Corporation, WCG Entertainment Productions, Mark Gordon Productions",United States of America,1996-02-09,"$150,270,147.00",108,English,Released,Broken Arrow,5.7,459,yes,no,yes,no
"$7,000,000.00","Comedy, Crime, Drama",13685,tt0115734,en,Bottle Rocket,6.9,"Gracie Films, Columbia Pictures Corporation",United States of America,1996-02-21,"$560,069.00",91,"Spanish, English",Released,Bottle Rocket,6.8,285,yes,yes,yes,no
"$12,000,000.00",Comedy,9614,tt0116483,en,Happy Gilmore,9.59,"Universal Pictures, Brillstein-Grey Entertainment, Robert Simonds Productions",United States of America,1996-02-16,"$41,205,099.00",92,English,Released,Happy Gilmore,6.5,767,no,no,yes,no
"$24,000,000.00","Drama, Romance",688,tt0112579,en,The Bridges of Madison County,5.95,"Amblin Entertainment, Malpaso Productions, Warner Bros.",United States of America,1995-05-28,"$182,016,617.00",135,English,Released,The Bridges of Madison County,7.3,397,yes,no,yes,no
"$72,000,000.00","Action, Drama, History, War",197,tt0112573,en,Braveheart,20.76,"Icon Entertainment International, The Ladd Company, B.H. Finance C.V.",United States of America,1995-05-24,"$210,000,000.00",177,"English, French, Latin, Scottish Gaelic",Released,Braveheart,7.7,3404,yes,yes,yes,no
"$1,300,000.00","Crime, Drama",103,tt0075314,en,Taxi Driver,14.09,"Columbia Pictures Corporation, Italo/Judeo Productions, Bill/Phillips",United States of America,1976-02-07,"$28,262,574.00",114,"English, Spanish",Released,Taxi Driver,8.1,2632,yes,yes,yes,no
"$25,000,000.00","Comedy, Drama",78406,tt0114536,en,Steal Big Steal Little,1.52,Savoy Pictures,United States of America,1995-09-29,"$6,278,139.00",113,English,Released,Steal Big Steal Little,5.1,7,yes,no,no,no
"$40,000,000.00","Comedy, Romance",11066,tt0103859,en,Boomerang,6.51,Paramount Pictures,United States of America,1992-06-30,"$70,100,000.00",117,"French, English",Released,Boomerang,5.4,139,yes,yes,no,no
"$7,000,000.00","Comedy, Romance",2074,tt0116324,en,Flirting with Disaster,5.58,Miramax Films,United States of America,1996-03-22,"$14,702,438.00",92,English,Released,Flirting with Disaster,6.3,66,yes,no,no,no
"$50,000,000.00","Action, Thriller, Mystery, Romance",11863,tt0113451,en,Jade,11.42,Paramount Pictures,United States of America,1995-10-13,"$9,851,610.00",95,English,Released,Jade,5.1,45,yes,no,no,no
"$31,000,000.00",Comedy,11000,tt0115685,en,The Birdcage,6.5,United Artists,United States of America,1996-03-08,"$185,260,553.00",117,"English, French",Released,The Birdcage,6.7,303,no,yes,no,no
"$19,000,000.00","Action, Comedy, Crime, Thriller",9737,tt0112442,en,Bad Boys,9.26,"Columbia Pictures, Don Simpson/Jerry Bruckheimer Films",United States of America,1995-04-07,"$141,407,024.00",118,English,Released,Bad Boys,6.5,1729,yes,no,yes,no
"$4,000,000.00","Romance, Drama, Comedy",22279,tt0112427,en,An Awfully Big Adventure,0.92,"Fine Line Features, BBC, British Screen Productions, Portman Productions",United Kingdom,1995-07-21,"$851,545.00",113,English,Released,An Awfully Big Adventure,6.0,11,yes,no,yes,no
"$52,000,000.00",Drama,568,tt0112384,en,Apollo 13,18.76,"Imagine Entertainment, Universal Pictures",United States of America,1995-06-30,"$355,237,933.00",140,English,Released,Apollo 13,7.3,1637,no,no,yes,no
"$28,000,000.00",Adventure,11780,tt0114287,en,Rob Roy,10.19,"United Artists, Talisman Productions","United Kingdom, United States of America",1995-04-13,"$31,596,911.00",139,English,Released,Rob Roy,6.5,151,no,no,yes,yes
"$100,000,000.00","Action, Crime, Fantasy",414,tt0112462,en,Batman Forever,13.32,"Warner Bros., Polygram Filmed Entertainment","United Kingdom, United States of America",1995-06-16,"$336,529,144.00",121,English,Released,Batman Forever,5.2,1529,yes,no,yes,yes
"$11,000,000.00","Action, Comedy",1775,tt0109370,en,Canadian Bacon,5.39,PolyGram Filmed Entertainment,"Canada, United States of America",1995-06-08,"$178,104.00",91,English,Released,Canadian Bacon,5.9,57,yes,no,no,yes
"$50,000,000.00","Fantasy, Comedy, Family",8839,tt0112642,en,Casper,12.81,"Universal Pictures, Amblin Entertainment, The Harvey Entertainment Company",United States of America,1995-05-26,"$287,928,194.00",100,English,Released,Casper,6.0,1045,yes,no,yes,no
"$25,000,000.00","Mystery, Crime, Drama",20649,tt0112688,en,Clockers,4.56,"Universal Pictures, 40 Acres & A Mule Filmworks",United States of America,1995-09-15,"$13,071,518.00",128,English,Released,Clockers,6.8,69,yes,no,yes,no
"$50,000,000.00","Action, Adventure, Drama, Mystery, Science Fiction, Thriller",10329,tt0112715,en,Congo,7.26,"Paramount Pictures, Kennedy/Marshall Company, The",United States of America,1995-06-09,"$152,022,101.00",109,"English, French",Released,Congo,5.0,214,yes,yes,yes,no
"$53,000,000.00","Action, Thriller, Drama",8963,tt0112740,en,Crimson Tide,8.66,"Hollywood Pictures, Don Simpson/Jerry Bruckheimer Films",United States of America,1995-05-12,"$157,387,195.00",116,English,Released,Crimson Tide,7.0,508,yes,no,yes,no
"$7,000,000.00","Thriller, Action, Crime",8068,tt0112851,en,Desperado,6.95,"Columbia Pictures, Los Hooligans Productions",United States of America,1995-08-25,"$25,405,445.00",104,English,Released,Desperado,6.8,898,yes,no,yes,no
"$27,000,000.00","Drama, Mystery, Thriller",8512,tt0112857,en,Devil in a Blue Dress,4.65,"TriStar Pictures, Mundy Lane Entertainment",United States of America,1995-09-15,"$16,140,822.00",102,English,Released,Devil in a Blue Dress,6.3,88,yes,no,yes,no
"$90,000,000.00","Action, Thriller",1572,tt0112864,en,Die Hard: With a Vengeance,15.14,"Twentieth Century Fox Film Corporation, Cinergi Pictures Entertainment",United States of America,1995-05-19,"$366,101,666.00",128,"English, German, Romanian",Released,Die Hard: With a Vengeance,6.9,2094,yes,yes,yes,no
"$55,000,000.00","Action, Adventure, Drama, Romance",6520,tt0113071,en,First Knight,15.18,"Columbia Pictures Corporation, First Knight Productions",United States of America,1995-07-07,"$127,600,435.00",134,"English, French",Released,First Knight,5.9,319,yes,yes,yes,no
"$20,000,000.00","Action, Crime, Thriller, Drama",10428,tt0113243,en,Hackers,14.81,"United Artists, Suftley",United States of America,1995-09-14,"$7,563,728.00",107,"English, Italian, Japanese, Russian",Released,Hackers,6.2,406,yes,yes,yes,no
"$25,000,000.00","Adventure, Action, Drama, Science Fiction, Thriller",9886,tt0113481,en,Johnny Mnemonic,11.72,"TriStar Pictures, Alliance Communications Corporation","Canada, United States of America",1995-05-26,"$19,075,720.00",97,"English, Japanese",Released,Johnny Mnemonic,5.5,380,yes,yes,yes,yes
"$90,000,000.00",Science Fiction,9482,tt0113492,en,Judge Dredd,8.18,"Hollywood Pictures, Cinergi Pictures Entertainment",United States of America,1995-06-30,"$113,493,481.00",96,English,Released,Judge Dredd,5.4,643,no,no,yes,no
"$1,500,000.00","Drama, Crime",9344,tt0113540,en,Kids,4.88,Miramax Films,United States of America,1995-07-28,"$7,412,216.00",91,English,Released,Kids,6.8,280,yes,no,no,no
