movie_id,movie_name,genre,release_date,rating,box_office,imdb_rating,budget,multigenre,multilanguage,multicompany,multicountry,Country,Year,runtime,Nominations,Wins
8844,Jumanji,"Adventure, Fantasy, Family",1995-12-15,6.9,100476482.0,,65000000.0,yes,yes,yes,no,,,,,
31357,Waiting to Exhale,"Comedy, Drama, Romance",1995-12-22,6.1,,,16000000.0,yes,no,no,no,,,,,
949,Heat,"Action, Crime, Drama, Thriller",1995-12-15,7.7,67449619.0,,60000000.0,yes,yes,yes,no,,,,,
9091,Sudden Death,"Action, Adventure, Thriller",1995-12-22,5.5,,,35000000.0,yes,no,yes,no,,,,,
710,GoldenEye,"Adventure, Action, Thriller",1995-11-16,6.6,106430619.0,,58000000.0,yes,yes,yes,yes,,,,,
9087,The American President,"Comedy, Drama, Romance",1995-11-17,6.5,,,62000000.0,yes,no,yes,no,,,,,
1408,Cutthroat Island,"Action, Adventure",1995-12-22,5.7,,,98000000.0,yes,yes,yes,yes,,,,,
524,Casino,"Drama, Crime",1995-11-22,7.8,68972551.0,,52000000.0,yes,no,yes,yes,,,,,
4584,Sense and Sensibility,"Drama, Romance",1995-12-13,7.2,43184363.0,,16500000.0,yes,no,yes,yes,,,,,
5,Four Rooms,"Crime, Comedy",1995-12-09,6.5,,,4000000.0,yes,no,yes,no,,,,,
9273,Ace Ventura: When Nature Calls,"Crime, Comedy, Adventure",1995-11-10,6.1,,,30000000.0,yes,no,yes,no,,,,,
11517,Money Train,"Action, Comedy, Crime",1995-11-21,5.4,,,60000000.0,yes,no,no,no,,,,,
8012,Get Shorty,"Comedy, Thriller, Crime",1995-10-20,6.4,,,30250000.0,yes,no,yes,no,,,,,
9691,Assassins,"Action, Adventure, Crime, Thriller",1995-10-06,6.0,,,50000000.0,yes,yes,yes,yes,,,,,
451,Leaving Las Vegas,"Drama, Romance",1995-10-27,7.1,,,3600000.0,yes,no,yes,no,,,,,
9263,Now and Then,"Comedy, Drama, Family",1995-10-20,6.6,,,12000000.0,yes,no,no,no,,,,,
63,Twelve Monkeys,"Science Fiction, Thriller, Mystery",1995-12-29,7.4,,,29500000.0,yes,yes,yes,no,,,,,
687,Dead Man Walking,Drama,1995-12-29,7.3,,,11000000.0,no,no,yes,yes,,,,,
9312,Mortal Kombat,"Action, Fantasy",1995-08-18,5.4,70455286.0,,18000000.0,yes,no,yes,no,,,,,
577,To Die For,"Fantasy, Drama, Comedy, Thriller",1995-05-20,6.7,21284695.0,,20000000.0,yes,no,yes,no,,,,,
11861,How To Make An American Quilt,"Drama, Romance",1995-10-06,6.5,,,10000000.0,yes,no,yes,no,,,,,
807,Se7en,"Crime, Mystery, Thriller",1995-09-22,8.1,,,33000000.0,yes,no,yes,no,,,,,
629,The Usual Suspects,"Drama, Crime, Thriller",1995-07-19,8.1,,,6000000.0,yes,yes,yes,no,,,,,
11448,Mighty Aphrodite,"Comedy, Romance",1995-09-13,6.7,,,15000000.0,yes,no,yes,no,,,,,
10634,Friday,Comedy,1995-04-26,7.0,,,3500000.0,no,no,no,no,,,,,
755,From Dusk Till Dawn,"Horror, Action, Thriller, Crime",1996-01-19,6.9,25837269.0,,19000000.0,yes,yes,yes,no,,,,,
