week,month,service,available_beds,patients_request,patients_admitted,patients_refused,patient_satisfaction,staff_morale,event,refusal_rate,admission_rate,wait_pressure,predicted_demand,estimated_refusal_reduction
1,1,emergency,35.2,76,32,44,67,70,none,0.5789473684210527,0.42105263157894735,44,79.2,-3.200000000000003
1,1,surgery,49.50000000000001,130,45,85,83,78,flu,0.6538461538461539,0.34615384615384615,85,134.49999999999997,-4.499999999999972
1,1,general_medicine,40.7,201,37,164,97,43,flu,0.8159203980099502,0.18407960199004975,164,204.69999999999987,-3.699999999999875
1,1,ICU,24.200000000000003,31,22,9,84,91,flu,0.2903225806451613,0.7096774193548387,9,33.20000000000004,-2.2000000000000384
2,1,emergency,30.800000000000004,169,28,141,75,64,none,0.834319526627219,0.16568047337278108,141,171.7999999999999,-2.7999999999998977
2,1,surgery,44.0,26,26,0,96,56,none,0.0,1.0,-14,30.00000000000007,-4.000000000000071
2,1,general_medicine,47.300000000000004,183,43,140,73,93,flu,0.7650273224043715,0.23497267759562843,140,187.2999999999999,-4.299999999999898
2,1,ICU,17.6,7,7,0,79,85,donation,0.0,1.0,-9,8.600000000000055,-1.6000000000000547
3,1,emergency,35.2,177,32,145,73,58,flu,0.8192090395480226,0.1807909604519774,145,180.1999999999999,-3.1999999999999034
3,1,surgery,29.700000000000003,66,27,39,63,72,flu,0.5909090909090909,0.4090909090909091,39,68.7,-2.700000000000003
3,1,general_medicine,40.7,58,37,21,95,63,none,0.3620689655172414,0.6379310344827587,21,61.70000000000003,-3.7000000000000313
3,1,ICU,22.0,21,20,1,82,89,none,0.047619047619047616,0.9523809523809523,1,23.000000000000043,-2.0000000000000426
4,1,emergency,35.2,157,32,125,83,75,none,0.7961783439490446,0.20382165605095542,125,160.1999999999999,-3.1999999999999034
4,1,surgery,61.60000000000001,57,56,1,74,94,none,0.017543859649122806,0.9824561403508771,1,62.60000000000006,-5.600000000000058
4,1,general_medicine,47.300000000000004,152,43,109,67,66,flu,0.7171052631578947,0.28289473684210525,109,156.29999999999993,-4.299999999999926
4,1,ICU,22.0,21,20,1,64,85,flu,0.047619047619047616,0.9523809523809523,1,23.000000000000043,-2.0000000000000426
5,2,emergency,27.500000000000004,388,25,363,93,72,flu,0.9355670103092784,0.06443298969072164,363,390.49999999999966,-2.499999999999659
5,2,surgery,28.6,70,26,44,81,83,donation,0.6285714285714286,0.37142857142857144,44,72.6,-2.5999999999999943
5,2,general_medicine,44.0,103,40,63,73,52,none,0.6116504854368932,0.3883495145631068,63,106.99999999999999,-3.999999999999986
5,2,ICU,24.200000000000003,13,13,0,73,88,none,0.0,1.0,-9,15.200000000000053,-2.2000000000000526
6,2,emergency,37.400000000000006,198,34,164,72,76,flu,0.8282828282828283,0.1717171717171717,164,201.39999999999986,-3.3999999999998636
6,2,surgery,29.700000000000003,58,27,31,96,81,donation,0.5344827586206896,0.46551724137931033,31,60.70000000000001,-2.70000000000001
6,2,general_medicine,75.9,90,69,21,72,81,none,0.23333333333333334,0.7666666666666667,21,96.90000000000003,-6.900000000000034
6,2,ICU,15.400000000000002,12,12,0,87,51,none,0.0,1.0,-2,13.400000000000052,-1.4000000000000519
7,2,emergency,36.300000000000004,127,33,94,65,77,none,0.7401574803149606,0.25984251968503935,94,130.29999999999995,-3.2999999999999545
7,2,surgery,40.7,46,37,9,89,60,none,0.1956521739130435,0.8043478260869565,9,49.700000000000045,-3.7000000000000455
7,2,general_medicine,68.2,80,62,18,84,98,donation,0.225,0.775,18,86.20000000000005,-6.2000000000000455
7,2,ICU,23.1,47,21,26,72,83,flu,0.5531914893617021,0.44680851063829785,26,49.10000000000001,-2.1000000000000085
8,2,emergency,28.6,240,26,214,96,75,flu,0.8916666666666667,0.10833333333333334,214,242.5999999999998,-2.5999999999997954
8,2,surgery,56.1,20,20,0,91,61,strike,0.0,1.0,-31,25.100000000000094,-5.100000000000094
8,2,general_medicine,63.800000000000004,105,58,47,71,88,none,0.44761904761904764,0.5523809523809524,47,110.8,-5.799999999999997
8,2,ICU,13.200000000000001,10,10,0,76,98,none,0.0,1.0,-2,11.200000000000038,-1.2000000000000384
9,3,emergency,30.800000000000004,113,28,85,82,86,none,0.7522123893805309,0.24778761061946902,85,115.79999999999995,-2.7999999999999545
9,3,surgery,24.200000000000003,41,22,19,61,93,none,0.4634146341463415,0.5365853658536586,19,43.200000000000024,-2.200000000000024
9,3,general_medicine,41.800000000000004,78,38,40,63,60,none,0.5128205128205128,0.48717948717948717,40,81.80000000000001,-3.8000000000000114
9,3,ICU,12.100000000000001,20,11,9,97,73,none,0.45,0.55,9,21.10000000000003,-1.1000000000000298
10,3,emergency,18.700000000000003,130,17,113,81,60,none,0.8692307692307693,0.13076923076923078,113,131.69999999999993,-1.6999999999999318
10,3,surgery,41.800000000000004,57,38,19,68,55,none,0.3333333333333333,0.6666666666666666,19,60.80000000000004,-3.80000000000004
10,3,general_medicine,38.5,64,35,29,95,68,none,0.453125,0.546875,29,67.50000000000001,-3.500000000000014
10,3,ICU,14.3,8,8,0,91,56,none,0.0,1.0,-5,9.30000000000005,-1.3000000000000504
11,3,emergency,17.6,97,16,81,98,72,donation,0.8350515463917526,0.16494845360824742,81,98.59999999999995,-1.5999999999999517
11,3,surgery,52.800000000000004,48,48,0,82,80,none,0.0,1.0,0,52.800000000000054,-4.800000000000054
11,3,general_medicine,38.5,50,35,15,75,75,none,0.3,0.7,15,53.500000000000036,-3.5000000000000355
11,3,ICU,15.400000000000002,17,14,3,61,50,none,0.17647058823529413,0.8235294117647058,3,18.400000000000045,-1.4000000000000448
12,3,emergency,30.800000000000004,347,28,319,68,83,flu,0.9193083573487032,0.08069164265129683,319,349.79999999999967,-2.7999999999996703
12,3,surgery,41.800000000000004,24,24,0,79,73,none,0.0,1.0,-14,27.800000000000068,-3.800000000000068
12,3,general_medicine,36.300000000000004,69,33,36,70,98,none,0.5217391304347826,0.4782608695652174,36,72.30000000000001,-3.3000000000000114
12,3,ICU,17.6,13,13,0,79,94,donation,0.0,1.0,-3,14.60000000000004,-1.6000000000000405
13,4,emergency,25.3,142,23,119,77,95,none,0.8380281690140845,0.1619718309859155,119,144.2999999999999,-2.2999999999998977
13,4,surgery,45.1,54,41,13,75,90,none,0.24074074074074073,0.7592592592592593,13,58.10000000000003,-4.10000000000003
13,4,general_medicine,36.300000000000004,72,33,39,73,70,none,0.5416666666666666,0.4583333333333333,39,75.3,-3.299999999999997
13,4,ICU,18.700000000000003,12,12,0,66,52,none,0.0,1.0,-5,13.700000000000054,-1.7000000000000544
14,4,emergency,16.5,97,15,82,71,71,none,0.845360824742268,0.15463917525773196,82,98.49999999999996,-1.4999999999999574
14,4,surgery,36.300000000000004,49,33,16,97,87,none,0.32653061224489793,0.673469387755102,16,52.300000000000026,-3.3000000000000256
14,4,general_medicine,56.1,47,47,0,86,76,none,0.0,1.0,-4,52.10000000000005,-5.100000000000051
14,4,ICU,11.0,16,10,6,92,54,none,0.375,0.625,6,17.000000000000036,-1.0000000000000355
15,4,emergency,18.700000000000003,53,17,36,94,98,none,0.6792452830188679,0.32075471698113206,36,54.699999999999996,-1.6999999999999957
15,4,surgery,34.1,124,31,93,65,76,flu,0.75,0.25,93,127.09999999999994,-3.0999999999999375
15,4,general_medicine,58.300000000000004,179,53,126,90,76,flu,0.7039106145251397,0.29608938547486036,126,184.2999999999999,-5.299999999999898
15,4,ICU,15.400000000000002,11,11,0,92,52,none,0.0,1.0,-3,12.400000000000048,-1.4000000000000483
16,4,emergency,25.3,144,23,121,62,89,none,0.8402777777777778,0.1597222222222222,121,146.2999999999999,-2.2999999999998977
16,4,surgery,40.7,28,28,0,82,31,strike,0.0,1.0,-9,31.700000000000063,-3.7000000000000632
16,4,general_medicine,42.900000000000006,41,39,2,85,66,none,0.04878048780487805,0.9512195121951219,2,44.90000000000005,-3.9000000000000483
16,4,ICU,19.8,15,15,0,98,78,none,0.0,1.0,-3,16.800000000000043,-1.8000000000000433
17,5,emergency,23.1,133,21,112,84,73,none,0.8421052631578947,0.15789473684210525,112,135.0999999999999,-2.099999999999909
17,5,surgery,44.0,23,23,0,95,94,none,0.0,1.0,-17,27.000000000000053,-4.000000000000053
17,5,general_medicine,36.300000000000004,76,33,43,75,63,none,0.5657894736842105,0.4342105263157895,43,79.3,-3.299999999999997
17,5,ICU,15.400000000000002,17,14,3,87,83,none,0.17647058823529413,0.8235294117647058,3,18.400000000000038,-1.4000000000000377
18,5,emergency,19.8,100,18,82,81,80,donation,0.82,0.18,82,101.79999999999994,-1.7999999999999403
18,5,surgery,47.300000000000004,36,36,0,81,98,none,0.0,1.0,-7,40.30000000000005,-4.300000000000047
18,5,general_medicine,34.1,25,25,0,96,62,strike,0.0,1.0,-6,28.10000000000005,-3.100000000000051
18,5,ICU,13.200000000000001,9,9,0,63,55,none,0.0,1.0,-3,10.200000000000047,-1.2000000000000473
19,5,emergency,17.6,70,16,54,99,45,strike,0.7714285714285715,0.22857142857142856,54,71.59999999999998,-1.59999999999998
19,5,surgery,46.2,44,42,2,78,66,none,0.045454545454545456,0.9545454545454546,2,48.200000000000045,-4.2000000000000455
19,5,general_medicine,47.300000000000004,60,43,17,85,86,none,0.2833333333333333,0.7166666666666667,17,64.30000000000003,-4.300000000000026
19,5,ICU,15.400000000000002,17,14,3,68,61,none,0.17647058823529413,0.8235294117647058,3,18.40000000000004,-1.4000000000000412
20,5,emergency,23.1,45,21,24,93,81,none,0.5333333333333333,0.4666666666666667,24,47.10000000000001,-2.1000000000000085
20,5,surgery,34.1,39,31,8,99,94,none,0.20512820512820512,0.7948717948717948,8,42.10000000000003,-3.10000000000003
20,5,general_medicine,44.0,70,40,30,64,71,none,0.42857142857142855,0.5714285714285714,30,74.00000000000001,-4.000000000000014
20,5,ICU,11.0,14,10,4,85,65,none,0.2857142857142857,0.7142857142857143,4,15.000000000000036,-1.0000000000000355
21,6,emergency,19.8,95,18,77,88,63,none,0.8105263157894737,0.18947368421052632,77,96.79999999999995,-1.7999999999999545
21,6,surgery,33.0,44,30,14,64,67,donation,0.3181818181818182,0.6818181818181818,14,47.00000000000003,-3.0000000000000284
21,6,general_medicine,49.50000000000001,70,45,25,95,82,none,0.35714285714285715,0.6428571428571429,25,74.50000000000003,-4.500000000000028
21,6,ICU,13.200000000000001,9,9,0,69,54,none,0.0,1.0,-3,10.200000000000045,-1.2000000000000455
22,6,emergency,17.6,129,16,113,69,68,none,0.875968992248062,0.12403100775193798,113,130.5999999999999,-1.599999999999909
22,6,surgery,19.8,21,18,3,63,65,none,0.14285714285714285,0.8571428571428571,3,22.800000000000036,-1.8000000000000362
22,6,general_medicine,50.6,36,36,0,87,88,donation,0.0,1.0,-10,40.60000000000006,-4.600000000000058
22,6,ICU,9.9,6,6,0,92,82,none,0.0,1.0,-3,6.900000000000038,-0.9000000000000377
23,6,emergency,24.200000000000003,54,22,32,62,50,none,0.5925925925925926,0.4074074074074074,32,56.20000000000001,-2.20000000000001
23,6,surgery,28.6,43,26,17,72,61,none,0.3953488372093023,0.6046511627906976,17,45.60000000000002,-2.6000000000000227
23,6,general_medicine,29.700000000000003,81,27,54,94,77,donation,0.6666666666666666,0.3333333333333333,54,83.69999999999999,-2.6999999999999886
23,6,ICU,18.700000000000003,12,12,0,85,83,none,0.0,1.0,-5,13.700000000000044,-1.7000000000000437
24,6,emergency,19.8,105,18,87,70,78,none,0.8285714285714286,0.17142857142857143,87,106.79999999999994,-1.7999999999999403
24,6,surgery,42.900000000000006,21,21,0,95,39,strike,0.0,1.0,-18,24.900000000000077,-3.9000000000000767
24,6,general_medicine,51.7,66,47,19,94,97,none,0.2878787878787879,0.7121212121212122,19,70.70000000000003,-4.700000000000031
24,6,ICU,9.9,9,9,0,91,73,none,0.0,1.0,0,9.900000000000036,-0.9000000000000359
25,7,emergency,16.5,48,15,33,72,72,none,0.6875,0.3125,33,49.5,-1.5
25,7,surgery,24.200000000000003,39,22,17,76,98,none,0.4358974358974359,0.5641025641025641,17,41.20000000000002,-2.200000000000017
25,7,general_medicine,39.6,51,36,15,81,62,none,0.29411764705882354,0.7058823529411765,15,54.60000000000003,-3.60000000000003
25,7,ICU,8.8,6,6,0,71,90,none,0.0,1.0,-2,6.800000000000033,-0.8000000000000327
26,7,emergency,19.8,96,18,78,87,63,none,0.8125,0.1875,78,97.79999999999995,-1.7999999999999545
26,7,surgery,34.1,30,30,0,75,54,none,0.0,1.0,-1,33.100000000000044,-3.100000000000044
26,7,general_medicine,47.300000000000004,72,43,29,80,85,none,0.4027777777777778,0.5972222222222222,29,76.30000000000001,-4.300000000000011
26,7,ICU,15.400000000000002,8,8,0,98,63,none,0.0,1.0,-6,9.400000000000047,-1.4000000000000465
27,7,emergency,16.5,67,15,52,82,78,none,0.7761194029850746,0.22388059701492538,52,68.49999999999997,-1.4999999999999716
27,7,surgery,31.900000000000002,24,24,0,68,59,none,0.0,1.0,-5,26.900000000000052,-2.900000000000052
27,7,general_medicine,39.6,61,36,25,66,95,none,0.4098360655737705,0.5901639344262295,25,64.60000000000001,-3.6000000000000085
27,7,ICU,16.5,10,10,0,86,51,none,0.0,1.0,-5,11.500000000000048,-1.500000000000048
28,7,emergency,16.5,69,15,54,78,66,donation,0.782608695652174,0.21739130434782608,54,70.49999999999999,-1.4999999999999858
28,7,surgery,34.1,28,28,0,66,74,none,0.0,1.0,-3,31.100000000000048,-3.1000000000000476
28,7,general_medicine,28.6,36,26,10,90,68,none,0.2777777777777778,0.7222222222222222,10,38.60000000000003,-2.60000000000003
28,7,ICU,13.200000000000001,8,8,0,86,59,none,0.0,1.0,-4,9.200000000000042,-1.200000000000042
29,8,emergency,17.6,92,16,76,72,99,none,0.8260869565217391,0.17391304347826086,76,93.59999999999995,-1.5999999999999517
29,8,surgery,39.6,31,31,0,87,57,none,0.0,1.0,-5,34.60000000000005,-3.600000000000051
29,8,general_medicine,33.0,62,30,32,60,52,none,0.5161290322580645,0.4838709677419355,32,65.0,-3.0
29,8,ICU,15.400000000000002,15,14,1,84,82,none,0.06666666666666667,0.9333333333333333,1,16.400000000000034,-1.400000000000034
30,8,emergency,17.6,85,16,69,91,94,none,0.8117647058823529,0.18823529411764706,69,86.59999999999995,-1.5999999999999517
30,8,surgery,35.2,15,15,0,70,66,strike,0.0,1.0,-17,18.200000000000063,-3.2000000000000632
30,8,general_medicine,41.800000000000004,47,38,9,77,96,none,0.19148936170212766,0.8085106382978723,9,50.80000000000003,-3.8000000000000327
30,8,ICU,8.8,7,7,0,62,65,none,0.0,1.0,-1,7.800000000000037,-0.8000000000000371
31,8,emergency,22.0,48,20,28,69,81,none,0.5833333333333334,0.4166666666666667,28,50.0,-2.0
31,8,surgery,22.0,24,20,4,83,86,donation,0.16666666666666666,0.8333333333333334,4,26.00000000000003,-2.0000000000000284
31,8,general_medicine,49.50000000000001,60,45,15,85,57,none,0.25,0.75,15,64.50000000000004,-4.500000000000043
31,8,ICU,8.8,12,8,4,87,86,none,0.3333333333333333,0.6666666666666666,4,12.800000000000026,-0.8000000000000256
32,8,emergency,22.0,89,20,69,76,58,none,0.7752808988764045,0.2247191011235955,69,90.99999999999996,-1.9999999999999574
32,8,surgery,34.1,25,25,0,87,97,none,0.0,1.0,-6,28.100000000000044,-3.100000000000044
32,8,general_medicine,37.400000000000006,59,34,25,65,67,none,0.423728813559322,0.576271186440678,25,62.40000000000002,-3.40000000000002
32,8,ICU,12.100000000000001,15,11,4,84,51,none,0.26666666666666666,0.7333333333333333,4,16.100000000000037,-1.100000000000037
33,9,emergency,30.800000000000004,54,28,26,92,56,donation,0.48148148148148145,0.5185185185185185,26,56.80000000000001,-2.8000000000000114
33,9,surgery,39.6,30,30,0,80,75,none,0.0,1.0,-6,33.60000000000005,-3.600000000000051
33,9,general_medicine,56.1,98,51,47,86,98,none,0.47959183673469385,0.5204081632653061,47,103.1,-5.099999999999994
33,9,ICU,12.100000000000001,13,11,2,94,50,none,0.15384615384615385,0.8461538461538461,2,14.100000000000037,-1.100000000000037
34,9,emergency,23.1,31,21,10,64,60,strike,0.3225806451612903,0.6774193548387096,10,33.10000000000003,-2.10000000000003
34,9,surgery,24.200000000000003,42,22,20,96,86,none,0.47619047619047616,0.5238095238095238,20,44.20000000000001,-2.20000000000001
34,9,general_medicine,52.800000000000004,56,48,8,80,63,none,0.14285714285714285,0.8571428571428571,8,60.80000000000005,-4.800000000000047
34,9,ICU,11.0,7,7,0,72,53,none,0.0,1.0,-3,8.00000000000004,-1.0000000000000409
35,9,emergency,16.5,81,15,66,93,77,none,0.8148148148148148,0.18518518518518517,66,82.49999999999996,-1.4999999999999574
35,9,surgery,28.6,45,26,19,93,52,none,0.4222222222222222,0.5777777777777777,19,47.60000000000002,-2.6000000000000227
35,9,general_medicine,45.1,40,40,0,64,79,none,0.0,1.0,-1,44.100000000000044,-4.100000000000044
35,9,ICU,19.8,5,5,0,82,64,none,0.0,1.0,-13,6.8000000000000504,-1.8000000000000504
36,9,emergency,30.800000000000004,115,28,87,70,88,none,0.7565217391304347,0.24347826086956523,87,117.79999999999994,-2.7999999999999403
36,9,surgery,51.7,53,47,6,97,99,none,0.11320754716981132,0.8867924528301887,6,57.70000000000004,-4.700000000000038
36,9,general_medicine,64.9,54,54,0,86,83,none,0.0,1.0,-5,59.900000000000055,-5.900000000000055
36,9,ICU,16.5,5,5,0,83,64,none,0.0,1.0,-10,6.500000000000046,-1.5000000000000462
37,10,emergency,25.3,110,23,87,76,54,none,0.7909090909090909,0.20909090909090908,87,112.29999999999994,-2.2999999999999403
37,10,surgery,34.1,39,31,8,69,66,none,0.20512820512820512,0.7948717948717948,8,42.10000000000003,-3.10000000000003
37,10,general_medicine,63.800000000000004,48,48,0,93,55,none,0.0,1.0,-10,53.80000000000006,-5.800000000000061
37,10,ICU,14.3,20,13,7,82,65,none,0.35,0.65,7,21.30000000000003,-1.3000000000000291
38,10,emergency,24.200000000000003,71,22,49,67,53,none,0.6901408450704225,0.30985915492957744,49,73.19999999999999,-2.1999999999999886
